timestamp,source_ip,destination_ip,source_port,destination_port,protocol,alert_type,category,message,severity,source,asset_criticality
2026-07-03 15:34:00,198.51.9.44,10.0.5.77,1433,80,HTTPS,DDoS Activity,Denial of Service,High volume traffic flood detected targeting 10.0.5.77 from 198.51.9.44,MEDIUM,DEMO DATA,MEDIUM
2026-07-03 12:58:00,198.51.3.44,10.0.1.40,1433,54084,DNS,Ransomware Activity,Malware Activity,"Rapid file encryption behavior detected on host 10.0.1.40, source 198.51.3.44",LOW,DEMO DATA,LOW
2026-07-04 17:16:00,198.51.7.22,10.0.3.77,80,22,HTTPS,Ransomware Activity,Malware Activity,"Rapid file encryption behavior detected on host 10.0.3.77, source 198.51.7.22",HIGH,DEMO DATA,LOW
2026-07-02 09:01:00,198.51.1.33,10.0.2.12,3389,3389,HTTPS,SSH Brute Force,Authentication Threat,Multiple failed SSH login attempts detected from 198.51.1.33 targeting 10.0.2.12,MEDIUM,DEMO DATA,LOW
2026-07-02 16:09:00,198.51.4.33,10.0.5.5,22,30995,ICMP,DNS Tunneling,Data Exfiltration,Anomalous DNS query pattern suggesting tunneling from 198.51.4.33 to 10.0.5.5,MEDIUM,DEMO DATA,MEDIUM
2026-07-02 10:40:00,198.51.2.22,10.0.5.25,1433,22,TCP,DNS Tunneling,Data Exfiltration,Anomalous DNS query pattern suggesting tunneling from 198.51.2.22 to 10.0.5.25,LOW,DEMO DATA,HIGH
2026-07-05 19:35:00,198.51.7.22,10.0.1.40,22,56553,TCP,Port Scan,Network Scanning,TCP port scan detected originating from 198.51.7.22 against 10.0.1.40,LOW,DEMO DATA,LOW
2026-07-03 03:15:00,198.51.1.44,10.0.4.5,3389,1433,DNS,Malware Detection,Malware Activity,"Known malware signature detected on host 10.0.4.5, source 198.51.1.44",CRITICAL,DEMO DATA,LOW
2026-07-02 18:29:00,198.51.6.22,10.0.1.25,3389,22,UDP,Suspicious Login,Authentication Threat,Login from unusual geographic location for account originating at 198.51.6.22,LOW,DEMO DATA,LOW
2026-07-03 15:28:00,198.51.1.10,10.0.1.12,12668,80,HTTP,Port Scan,Network Scanning,TCP port scan detected originating from 198.51.1.10 against 10.0.1.12,HIGH,DEMO DATA,HIGH
2026-07-04 15:53:00,198.51.3.10,10.0.3.40,3389,22,ICMP,Malware Detection,Malware Activity,"Known malware signature detected on host 10.0.3.40, source 198.51.3.10",MEDIUM,DEMO DATA,HIGH
