timestamp,source_ip,destination_ip,source_port,destination_port,protocol,alert_type,category,message,severity,source,asset_criticality
2026-06-04 10:02:00,198.51.7.44,10.0.2.12,42574,80,UDP,Privilege Escalation,Authentication Threat,Unexpected privilege escalation attempt detected on host 10.0.2.12 from 198.51.7.44,MEDIUM,DEMO DATA,MEDIUM
2026-06-03 02:32:00,198.51.6.44,10.0.5.40,1433,22,HTTPS,DDoS Activity,Denial of Service,High volume traffic flood detected targeting 10.0.5.40 from 198.51.6.44,MEDIUM,DEMO DATA,LOW
2026-06-05 23:33:00,198.51.2.22,10.0.5.25,3389,1433,UDP,Privilege Escalation,Authentication Threat,Unexpected privilege escalation attempt detected on host 10.0.5.25 from 198.51.2.22,HIGH,DEMO DATA,HIGH
2026-06-02 11:15:00,198.51.6.22,10.0.5.77,8644,80,HTTP,Ransomware Activity,Malware Activity,"Rapid file encryption behavior detected on host 10.0.5.77, source 198.51.6.22",LOW,DEMO DATA,LOW
2026-06-03 02:29:00,198.51.9.33,10.0.5.25,80,80,DNS,Privilege Escalation,Authentication Threat,Unexpected privilege escalation attempt detected on host 10.0.5.25 from 198.51.9.33,HIGH,DEMO DATA,LOW
2026-06-03 16:00:00,198.51.6.22,10.0.2.77,443,1433,TCP,Port Scan,Network Scanning,TCP port scan detected originating from 198.51.6.22 against 10.0.2.77,LOW,DEMO DATA,LOW
2026-06-02 05:29:00,198.51.5.44,10.0.3.5,80,22,HTTP,Suspicious Login,Authentication Threat,Login from unusual geographic location for account originating at 198.51.5.44,MEDIUM,DEMO DATA,HIGH
2026-06-01 16:19:00,198.51.4.22,10.0.5.25,22,1433,TCP,DDoS Activity,Denial of Service,High volume traffic flood detected targeting 10.0.5.25 from 198.51.4.22,HIGH,DEMO DATA,HIGH
2026-06-03 06:49:00,198.51.5.10,10.0.3.77,80,3389,TCP,Malware Detection,Malware Activity,"Known malware signature detected on host 10.0.3.77, source 198.51.5.10",MEDIUM,DEMO DATA,LOW
2026-06-02 22:32:00,198.51.5.10,10.0.2.40,3389,1433,HTTPS,Suspicious Login,Authentication Threat,Login from unusual geographic location for account originating at 198.51.5.10,MEDIUM,DEMO DATA,LOW
2026-06-04 09:35:00,198.51.2.10,10.0.4.25,22,80,HTTP,DDoS Activity,Denial of Service,High volume traffic flood detected targeting 10.0.4.25 from 198.51.2.10,MEDIUM,DEMO DATA,MEDIUM
2026-06-04 11:26:00,198.51.8.44,10.0.4.25,3389,443,HTTPS,SQL Injection Attempt,Web Attack,Malicious SQL payload detected in HTTP request from 198.51.8.44 to 10.0.4.25,MEDIUM,DEMO DATA,MEDIUM
2026-06-04 00:25:00,198.51.5.44,10.0.3.12,443,443,DNS,Ransomware Activity,Malware Activity,"Rapid file encryption behavior detected on host 10.0.3.12, source 198.51.5.44",LOW,DEMO DATA,HIGH
2026-06-05 09:28:00,198.51.1.22,10.0.1.5,3827,3389,DNS,Suspicious Login,Authentication Threat,Login from unusual geographic location for account originating at 198.51.1.22,LOW,DEMO DATA,MEDIUM
2026-06-03 06:18:00,198.51.6.10,10.0.5.40,443,80,HTTP,SSH Brute Force,Authentication Threat,Multiple failed SSH login attempts detected from 198.51.6.10 targeting 10.0.5.40,LOW,DEMO DATA,HIGH
2026-06-02 09:16:00,198.51.5.10,10.0.5.77,7477,3389,UDP,DDoS Activity,Denial of Service,High volume traffic flood detected targeting 10.0.5.77 from 198.51.5.10,LOW,DEMO DATA,LOW
2026-06-04 13:13:00,198.51.2.44,10.0.1.12,80,22,ICMP,Ransomware Activity,Malware Activity,"Rapid file encryption behavior detected on host 10.0.1.12, source 198.51.2.44",MEDIUM,DEMO DATA,HIGH
2026-06-03 12:27:00,198.51.2.44,10.0.3.12,3389,443,DNS,SQL Injection Attempt,Web Attack,Malicious SQL payload detected in HTTP request from 198.51.2.44 to 10.0.3.12,LOW,DEMO DATA,HIGH
2026-06-05 05:33:00,198.51.6.44,10.0.5.77,443,80,UDP,Data Exfiltration,Data Exfiltration,Large outbound data transfer detected from 198.51.6.44 to external host 10.0.5.77,MEDIUM,DEMO DATA,MEDIUM
2026-06-05 11:05:00,198.51.9.10,10.0.2.77,443,443,HTTPS,Port Scan,Network Scanning,TCP port scan detected originating from 198.51.9.10 against 10.0.2.77,MEDIUM,DEMO DATA,HIGH
2026-06-02 14:02:00,198.51.4.10,10.0.5.5,80,33932,UDP,Ransomware Activity,Malware Activity,"Rapid file encryption behavior detected on host 10.0.5.5, source 198.51.4.10",HIGH,DEMO DATA,HIGH
2026-06-02 12:59:00,198.51.1.44,10.0.1.5,1433,22,UDP,SSH Brute Force,Authentication Threat,Multiple failed SSH login attempts detected from 198.51.1.44 targeting 10.0.1.5,LOW,DEMO DATA,HIGH
2026-06-01 11:48:00,198.51.2.10,10.0.5.77,1433,16408,ICMP,Suspicious Login,Authentication Threat,Login from unusual geographic location for account originating at 198.51.2.10,CRITICAL,DEMO DATA,MEDIUM
2026-06-02 22:10:00,198.51.6.33,10.0.2.12,80,22,TCP,DDoS Activity,Denial of Service,High volume traffic flood detected targeting 10.0.2.12 from 198.51.6.33,LOW,DEMO DATA,MEDIUM
2026-06-03 09:56:00,198.51.4.22,10.0.3.77,80,80,DNS,Ransomware Activity,Malware Activity,"Rapid file encryption behavior detected on host 10.0.3.77, source 198.51.4.22",HIGH,DEMO DATA,HIGH
2026-06-05 07:37:00,198.51.5.33,10.0.4.25,80,29050,ICMP,Privilege Escalation,Authentication Threat,Unexpected privilege escalation attempt detected on host 10.0.4.25 from 198.51.5.33,HIGH,DEMO DATA,HIGH
2026-06-01 10:43:00,198.51.8.22,10.0.3.5,1433,3389,DNS,Port Scan,Network Scanning,TCP port scan detected originating from 198.51.8.22 against 10.0.3.5,MEDIUM,DEMO DATA,MEDIUM
2026-06-02 18:20:00,198.51.1.10,10.0.1.25,1433,6378,ICMP,Suspicious Login,Authentication Threat,Login from unusual geographic location for account originating at 198.51.1.10,LOW,DEMO DATA,MEDIUM
2026-06-02 05:52:00,198.51.5.33,10.0.1.77,443,22,ICMP,Privilege Escalation,Authentication Threat,Unexpected privilege escalation attempt detected on host 10.0.1.77 from 198.51.5.33,MEDIUM,DEMO DATA,HIGH
2026-06-04 00:23:00,198.51.5.22,10.0.3.77,3389,80,HTTP,DDoS Activity,Denial of Service,High volume traffic flood detected targeting 10.0.3.77 from 198.51.5.22,HIGH,DEMO DATA,HIGH
2026-06-03 01:22:00,198.51.4.44,10.0.1.25,443,3389,HTTPS,DNS Tunneling,Data Exfiltration,Anomalous DNS query pattern suggesting tunneling from 198.51.4.44 to 10.0.1.25,HIGH,DEMO DATA,MEDIUM
2026-06-04 01:48:00,198.51.6.44,10.0.3.25,1433,80,TCP,Malware Detection,Malware Activity,"Known malware signature detected on host 10.0.3.25, source 198.51.6.44",LOW,DEMO DATA,MEDIUM
2026-06-03 22:24:00,198.51.1.22,10.0.2.25,1433,22,DNS,Suspicious Login,Authentication Threat,Login from unusual geographic location for account originating at 198.51.1.22,LOW,DEMO DATA,MEDIUM
2026-06-05 11:35:00,198.51.9.33,10.0.2.77,22,18957,TCP,Port Scan,Network Scanning,TCP port scan detected originating from 198.51.9.33 against 10.0.2.77,MEDIUM,DEMO DATA,MEDIUM
2026-06-04 17:13:00,198.51.1.22,10.0.5.5,49900,80,DNS,Port Scan,Network Scanning,TCP port scan detected originating from 198.51.1.22 against 10.0.5.5,LOW,DEMO DATA,LOW
2026-06-05 08:24:00,198.51.9.22,10.0.3.5,443,443,DNS,DDoS Activity,Denial of Service,High volume traffic flood detected targeting 10.0.3.5 from 198.51.9.22,MEDIUM,DEMO DATA,LOW
2026-06-05 13:52:00,198.51.8.44,10.0.4.25,1433,22,HTTP,DDoS Activity,Denial of Service,High volume traffic flood detected targeting 10.0.4.25 from 198.51.8.44,HIGH,DEMO DATA,HIGH
2026-06-05 17:50:00,198.51.1.10,10.0.3.25,1433,22,HTTPS,Privilege Escalation,Authentication Threat,Unexpected privilege escalation attempt detected on host 10.0.3.25 from 198.51.1.10,LOW,DEMO DATA,MEDIUM
2026-06-03 09:24:00,198.51.2.44,10.0.3.40,17127,11657,HTTP,SSH Brute Force,Authentication Threat,Multiple failed SSH login attempts detected from 198.51.2.44 targeting 10.0.3.40,CRITICAL,DEMO DATA,HIGH
2026-06-03 05:09:00,198.51.6.10,10.0.2.12,443,22,HTTP,SQL Injection Attempt,Web Attack,Malicious SQL payload detected in HTTP request from 198.51.6.10 to 10.0.2.12,MEDIUM,DEMO DATA,MEDIUM
2026-06-01 21:13:00,198.51.5.44,10.0.5.5,22,3389,TCP,Port Scan,Network Scanning,TCP port scan detected originating from 198.51.5.44 against 10.0.5.5,HIGH,DEMO DATA,HIGH
2026-06-01 14:50:00,198.51.1.33,10.0.3.5,80,80,HTTPS,DDoS Activity,Denial of Service,High volume traffic flood detected targeting 10.0.3.5 from 198.51.1.33,LOW,DEMO DATA,HIGH
2026-06-03 12:20:00,198.51.9.10,10.0.2.25,3389,443,DNS,DDoS Activity,Denial of Service,High volume traffic flood detected targeting 10.0.2.25 from 198.51.9.10,LOW,DEMO DATA,HIGH
